label,sentence
1,apple store buy mac
1,move dad butter peanut fan laker die
1,tummy hurt feel museum night
1,rest day book mention
1,dont follow reply
-1,sunday haha
1,realize life people guess matter
-1,reach day hope gonna
-1,time decide watch bed
1,house home
1,walk run dog
-1,run call wake
1,xoxo hey wait bus
1,day water yesterday laugh fight fun school bit birthday
-1,share time hate front tip lady
-1,tonight game play sleep sim wont iphone
-1,lol cos
-1,reach time life bye
1,party grad tomorrow news
-1,god night
-1,hear day wow stuff fun luck lot
1,stuff feel people
1,care gonna tomorrow clothes wear
1,coffee break
-1,series love cover http friday friend
1,charge battery phone home cell drink tweet
1,day sound feel
1,flu bed kid stay wake exam
1,watch update
-1,shit happen
1,reason sleep piss alarm
1,tonight hear time run drive
1,hate wear body
1,start sit finish
1,sister talk haha phone yeah
-1,meet dream start lol cry
1,lie time shower home shop
-1,buy bed bit shirt post
1,tweet fun message people
-1,yay week month july june
-1,hahaha time start cry movie laugh
-1,business love
-1,live day king follow birthday
1,talk feel hope haha
-1,hey school bore
-1,time understand stop spend
1,flu feel bout morning church
-1,watch brother concert jona love
1,hahaha leave miss guy
-1,tour band
1,cut love twitter
-1,block twitter learn
-1,lol sleep deprive
-1,hour math home bed sleep nap homework
1,talk start bore soo
-1,read stop wanna
-1,thursday tomorrow txt call
1,weekend ticket trip
1,save time
1,hate feel haha decide
-1,people send finish
1,hurt month fuck home wanna
1,time leave fun lot
1,eat bed google search
-1,miss hope
1,book read gonna finish wow
-1,june month update
-1,read reply post
1,text send
1,yesterday watch hero
1,day feel
-1,happen hurt love mama
1,download file
1,fall love
-1,time bear sleep
-1,midnight night book love
-1,hear enjoy tweet
-1,tonight drive laptop fix
-1,share love internet lot
-1,join hope gain lose
1,watch wait win
-1,follower talk twitter friend stuff
-1,drink night
-1,family life god love son folk
-1,life talk wanna cuz
-1,baby meet omg lol love
-1,day hehe rain coz night news
1,bug hope
1,weekend class morning tomorrow
-1,share twitter lol chat change info app
1,time sound song dinner
-1,starbuck coffee
1,ive sleep facebook twitter ugh addict lot
1,game play
-1,house start sound roll
-1,hear sound feel night
-1,girl bit
1,hair hate cut feel
-1,couch watch night chat
-1,hey mom gonna
-1,follower pay day vip add train
1,day leave
1,start feel
1,day watch england bit
-1,tune time play laker date orlando
-1,pick mom
1,flu day bed suck stick
-1,hate start school love test tomorrow
-1,care hey day miss tomorrow xoxo job interview tip search
1,hate damn
1,throw night lol yeah
-1,time mtv watch award friend movie
1,plan tweet answer question update
-1,twitter send
-1,site send
1,haha band
1,http ride night twurl
-1,girl day lol movie watchin pass
1,wait movie dvd
1,afternoon weather
